location_key,tipo_final,tipo_regla,ops_actuales,seg_actuales,total_actual,total_esperado,diferencia,estado
1 - Pino Suarez,LOCAL,ESPECIAL_3_3,3,3,6,6,0,✅ PERFECTO
2 - Madero,LOCAL,ESPECIAL_3_3,3,3,6,6,0,✅ PERFECTO
3 - Matamoros,LOCAL,ESPECIAL_3_3,3,3,6,6,0,✅ PERFECTO
4 - Santa Catarina,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
5 - Felix U. Gomez,LOCAL,ESPECIAL_3_3,3,3,6,6,0,✅ PERFECTO
6 - Garcia,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
7 - La Huasteca,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
8 - Gonzalitos,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
9 - Anahuac,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
10 - Barragan,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
11 - Lincoln,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
12 - Concordia,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
13 - Escobedo,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
14 - Aztlan,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
15 - Ruiz Cortinez,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
16 - Solidaridad,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
17 - Romulo Garza,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
18 - Linda Vista,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
19 - Valle Soleado,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
20 - Tecnológico,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
21 - Chapultepec,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
22 - Satelite,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
23 - Guasave,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
24 - Exposicion,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
25 - Juarez,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
26 - Cadereyta,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
27 - Santiago,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
28 - Guerrero,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
29 - Pablo Livas,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
30 - Carrizo,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
31 - Las Quintas,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
32 - Allende,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
33 - Eloy Cavazos,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
34 - Montemorelos,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
36 - Apodaca Centro,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
37 - Stiva,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
38 - Gomez Morin,LOCAL,LOCAL_4_4,3,3,6,8,-2,❌ DEFICIT (-2)
39 - Lazaro Cardenas,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
40 - Plaza 1500,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
41 - Vasconcelos,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
42 - Independencia,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
43 - Revolucion,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
44 - Senderos,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
45 - Triana,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
46 - Campestre,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
47 - San Antonio,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
48 - Refugio,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
49 - Pueblito,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
50 - Patio,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
51 - Constituyentes,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
52 - Venustiano Carranza,LOCAL,LOCAL_4_4,3,3,6,8,-2,❌ DEFICIT (-2)
53 - Lienzo Charro,LOCAL,LOCAL_4_4,2,2,4,8,-4,❌ DEFICIT (-4)
54 - Ramos Arizpe,LOCAL,LOCAL_4_4,3,3,6,8,-2,❌ DEFICIT (-2)
55 - Eulalio Gutierrez,LOCAL,LOCAL_4_4,3,3,6,8,-2,❌ DEFICIT (-2)
56 - Luis Echeverria,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
57 - Harold R. Pape,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
58 - Universidad (Tampico),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
59 - Plaza 3601,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
60 - Centro (Tampico),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
61 - Aeropuerto (Tampico),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
62 - Lazaro Cardenas (Morelia),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
63 - Madero (Morelia),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
64 - Huerta,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
65 - Pedro Cardenas,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
66 - Lauro Villar,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
67 - Centro (Matamoros),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
68 - Avenida del Niño,FORANEA,FORANEA_2_2,1,1,2,4,-2,❌ DEFICIT (-2)
69 - Puerto Rico,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
70 - Coahuila Comidas,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
71 - Centrito Valle,LOCAL,LOCAL_4_4,5,5,10,8,2,⚠️ EXCESO (+2)
72 - Sabinas Hidalgo,LOCAL,LOCAL_4_4,4,4,8,8,0,✅ PERFECTO
73 - Anzalduas,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
74 - Hidalgo (Reynosa),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
75 - Libramiento (Reynosa),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
76 - Aeropuerto (Reynosa),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
77 - Boulevard Morelos,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
78 - Alcala,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
79 - Rio Bravo,FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
80 - Guerrero 2 (Ruelas),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
81 - Reforma (Ruelas),FORANEA,FORANEA_2_2,2,2,4,4,0,✅ PERFECTO
