numero,nombre,location_key,lat,lon,tipo_original,grupo,ops_esperadas,seg_esperadas,total_esperado,tipo_regla
1,Pino Suarez,1 - Pino Suarez,25.6722541,-100.3199394,LOCAL,TEPEYAC,3,3,6,ESPECIAL_3_3
2,Madero,2 - Madero,25.6849795,-100.3204831,LOCAL,TEPEYAC,3,3,6,ESPECIAL_3_3
3,Matamoros,3 - Matamoros,25.6697859,-100.3151163,LOCAL,TEPEYAC,3,3,6,ESPECIAL_3_3
4,Santa Catarina,4 - Santa Catarina,25.6750664,-100.4439225,LOCAL,TEPEYAC,4,4,8,LOCAL_4_4
5,Felix U. Gomez,5 - Felix U. Gomez,25.6820826,-100.2995173,LOCAL,TEPEYAC,3,3,6,ESPECIAL_3_3
6,Garcia,6 - Garcia,25.794377,-100.583317,LOCAL,TEPEYAC,4,4,8,LOCAL_4_4
7,La Huasteca,7 - La Huasteca,25.6616794,-100.4381282,LOCAL,TEPEYAC,4,4,8,LOCAL_4_4
8,Gonzalitos,8 - Gonzalitos,25.6963987,-100.3516156,LOCAL,OGAS,4,4,8,LOCAL_4_4
9,Anahuac,9 - Anahuac,25.7443039,-100.3006696,LOCAL,OGAS,4,4,8,LOCAL_4_4
10,Barragan,10 - Barragan,25.763873,-100.3052723,LOCAL,OGAS,4,4,8,LOCAL_4_4
11,Lincoln,11 - Lincoln,25.7618024,-100.4060882,LOCAL,OGAS,4,4,8,LOCAL_4_4
12,Concordia,12 - Concordia,25.7854018,-100.2482303,LOCAL,OGAS,4,4,8,LOCAL_4_4
13,Escobedo,13 - Escobedo,25.7928458,-100.3299884,LOCAL,OGAS,4,4,8,LOCAL_4_4
14,Aztlan,14 - Aztlan,25.7269275,-100.3436258,LOCAL,OGAS,4,4,8,LOCAL_4_4
15,Ruiz Cortinez,15 - Ruiz Cortinez,25.7330158,-100.3754135,LOCAL,OGAS,4,4,8,LOCAL_4_4
16,Solidaridad,16 - Solidaridad,25.7815666,-100.3865248,FORANEA,EPL SO,2,2,4,FORANEA_2_2
17,Romulo Garza,17 - Romulo Garza,25.7176624,-100.2460914,FORANEA,EFM,2,2,4,FORANEA_2_2
18,Linda Vista,18 - Linda Vista,25.6875477,-100.2607656,FORANEA,EFM,2,2,4,FORANEA_2_2
19,Valle Soleado,19 - Valle Soleado,25.705159,-100.1627585,FORANEA,EFM,2,2,4,FORANEA_2_2
20,Tecnol칩gico,20 - Tecnol칩gico,25.6469144,-100.2898745,LOCAL,TEC,4,4,8,LOCAL_4_4
21,Chapultepec,21 - Chapultepec,25.6665906,-100.268701,LOCAL,TEC,4,4,8,LOCAL_4_4
22,Satelite,22 - Satelite,25.6082097,-100.2702349,LOCAL,TEC,4,4,8,LOCAL_4_4
23,Guasave,23 - Guasave,25.5613962,-108.463337,LOCAL,TEC,4,4,8,LOCAL_4_4
24,Exposicion,24 - Exposicion,25.6790149,-100.243663,FORANEA,EXPO,2,2,4,FORANEA_2_2
25,Juarez,25 - Juarez,25.6518436,-100.1128062,FORANEA,EXPO,2,2,4,FORANEA_2_2
26,Cadereyta,26 - Cadereyta,25.592725,-100.0016189,FORANEA,EXPO,2,2,4,FORANEA_2_2
27,Santiago,27 - Santiago,25.42416,-100.14792,FORANEA,EXPO,2,2,4,FORANEA_2_2
28,Guerrero,28 - Guerrero,27.493964,-99.5073645,FORANEA,EXPO,2,2,4,FORANEA_2_2
29,Pablo Livas,29 - Pablo Livas,25.6575413,-100.1866706,FORANEA,EXPO,2,2,4,FORANEA_2_2
30,Carrizo,30 - Carrizo,27.4975404,-99.5509711,FORANEA,EXPO,2,2,4,FORANEA_2_2
31,Las Quintas,31 - Las Quintas,25.6907136,-100.2125013,FORANEA,EXPO,2,2,4,FORANEA_2_2
32,Allende,32 - Allende,25.2738086,-100.0175254,FORANEA,EXPO,2,2,4,FORANEA_2_2
33,Eloy Cavazos,33 - Eloy Cavazos,25.6541672,-100.2098636,FORANEA,EXPO,2,2,4,FORANEA_2_2
34,Montemorelos,34 - Montemorelos,25.1892233,-99.842423,FORANEA,EXPO,2,2,4,FORANEA_2_2
35,Apodaca,35 - Apodaca,25.7522909,-100.198737,LOCAL,PLOG NUEVO LEON,4,4,8,LOCAL_4_4
36,Apodaca Centro,36 - Apodaca Centro,25.7774228,-100.1862806,LOCAL,PLOG NUEVO LEON,4,4,8,LOCAL_4_4
37,Stiva,37 - Stiva,25.7883679,-100.1445498,LOCAL,PLOG NUEVO LEON,4,4,8,LOCAL_4_4
38,Gomez Morin,38 - Gomez Morin,25.6589046,-100.3564118,LOCAL,PLOG NUEVO LEON,4,4,8,LOCAL_4_4
39,Lazaro Cardenas,39 - Lazaro Cardenas,25.6294433,-100.2990714,LOCAL,PLOG NUEVO LEON,4,4,8,LOCAL_4_4
40,Plaza 1500,40 - Plaza 1500,25.7226185,-100.2004331,LOCAL,PLOG NUEVO LEON,4,4,8,LOCAL_4_4
41,Vasconcelos,41 - Vasconcelos,25.6625206,-100.4042282,LOCAL,PLOG NUEVO LEON,4,4,8,LOCAL_4_4
42,Independencia,42 - Independencia,25.5463596,-103.4512412,FORANEA,PLOG LAGUNA,2,2,4,FORANEA_2_2
43,Revolucion,43 - Revolucion,25.5348985,-103.3996871,FORANEA,PLOG LAGUNA,2,2,4,FORANEA_2_2
44,Senderos,44 - Senderos,25.6032981,-103.4003048,FORANEA,PLOG LAGUNA,2,2,4,FORANEA_2_2
45,Triana,45 - Triana,25.5134939,-103.3942347,FORANEA,PLOG LAGUNA,2,2,4,FORANEA_2_2
46,Campestre,46 - Campestre,25.5546658,-103.5010797,FORANEA,PLOG LAGUNA,2,2,4,FORANEA_2_2
47,San Antonio,47 - San Antonio,25.5932738,-103.4839652,FORANEA,PLOG LAGUNA,2,2,4,FORANEA_2_2
48,Refugio,48 - Refugio,20.6492965,-100.3442314,FORANEA,PLOG QUERETARO,2,2,4,FORANEA_2_2
49,Pueblito,49 - Pueblito,20.5387256,-100.4330213,FORANEA,PLOG QUERETARO,2,2,4,FORANEA_2_2
50,Patio,50 - Patio,20.6187805,-100.438969,FORANEA,PLOG QUERETARO,2,2,4,FORANEA_2_2
51,Constituyentes,51 - Constituyentes,20.5797652,-100.3997043,FORANEA,PLOG QUERETARO,2,2,4,FORANEA_2_2
52,Venustiano Carranza,52 - Venustiano Carranza,25.4558046,-100.9848582,LOCAL,GRUPO SALTILLO,4,4,8,LOCAL_4_4
53,Lienzo Charro,53 - Lienzo Charro,25.4550873,-101.0085495,LOCAL,GRUPO SALTILLO,4,4,8,LOCAL_4_4
54,Ramos Arizpe,54 - Ramos Arizpe,25.534275,-100.9494212,LOCAL,GRUPO SALTILLO,4,4,8,LOCAL_4_4
55,Eulalio Gutierrez,55 - Eulalio Gutierrez,25.4462291,-100.9583993,LOCAL,GRUPO SALTILLO,4,4,8,LOCAL_4_4
56,Luis Echeverria,56 - Luis Echeverria,25.3958713,-101.0060254,LOCAL,GRUPO SALTILLO,4,4,8,LOCAL_4_4
57,Harold R. Pape,57 - Harold R. Pape,26.9240107,-101.4209376,LOCAL,GRUPO SALTILLO,4,4,8,LOCAL_4_4
58,Universidad (Tampico),58 - Universidad (Tampico),22.2701913,-97.8586294,FORANEA,OCHTER TAMPICO,2,2,4,FORANEA_2_2
59,Plaza 3601,59 - Plaza 3601,22.2501997,-97.8748437,FORANEA,OCHTER TAMPICO,2,2,4,FORANEA_2_2
60,Centro (Tampico),60 - Centro (Tampico),22.2152708,-97.8573728,FORANEA,OCHTER TAMPICO,2,2,4,FORANEA_2_2
61,Aeropuerto (Tampico),61 - Aeropuerto (Tampico),22.2985244,-97.8783331,FORANEA,OCHTER TAMPICO,2,2,4,FORANEA_2_2
62,Lazaro Cardenas (Morelia),62 - Lazaro Cardenas (Morelia),19.6955898,-101.1661908,FORANEA,GRUPO CANTERA ROSA (MORELIA),2,2,4,FORANEA_2_2
63,Madero (Morelia),63 - Madero (Morelia),19.7025286,-101.201663,FORANEA,GRUPO CANTERA ROSA (MORELIA),2,2,4,FORANEA_2_2
64,Huerta,64 - Huerta,19.6751407,-101.2152936,FORANEA,GRUPO CANTERA ROSA (MORELIA),2,2,4,FORANEA_2_2
65,Pedro Cardenas,65 - Pedro Cardenas,25.8469218,-97.5072646,FORANEA,GRUPO MATAMOROS,2,2,4,FORANEA_2_2
66,Lauro Villar,66 - Lauro Villar,25.863775,-97.480015,FORANEA,GRUPO MATAMOROS,2,2,4,FORANEA_2_2
67,Centro (Matamoros),67 - Centro (Matamoros),25.8807292,-97.5037509,FORANEA,GRUPO MATAMOROS,2,2,4,FORANEA_2_2
68,Avenida del Ni침o,68 - Avenida del Ni침o,25.8356287,-97.497976,FORANEA,GRUPO MATAMOROS,2,2,4,FORANEA_2_2
69,Puerto Rico,69 - Puerto Rico,25.8521626,-97.527739,FORANEA,GRUPO MATAMOROS,2,2,4,FORANEA_2_2
70,Coahuila Comidas,70 - Coahuila Comidas,28.7003352,-100.5232929,FORANEA,GRUPO PIEDRAS NEGRAS,2,2,4,FORANEA_2_2
71,Centrito Valle,71 - Centrito Valle,25.6578596,-100.3652579,LOCAL,GRUPO CENTRITO,4,4,8,LOCAL_4_4
72,Sabinas Hidalgo,72 - Sabinas Hidalgo,26.5093471,-100.1748201,FORANEA,GRUPO SABINAS HIDALGO,2,2,4,FORANEA_2_2
73,Anzalduas,73 - Anzalduas,26.0873129,-98.2850236,FORANEA,CRR,2,2,4,FORANEA_2_2
74,Hidalgo (Reynosa),74 - Hidalgo (Reynosa),26.0683933,-98.3368244,FORANEA,CRR,2,2,4,FORANEA_2_2
75,Libramiento (Reynosa),75 - Libramiento (Reynosa),26.0454236,-98.3146569,FORANEA,CRR,2,2,4,FORANEA_2_2
76,Aeropuerto (Reynosa),76 - Aeropuerto (Reynosa),26.0205663,-98.2279797,FORANEA,RAP,2,2,4,FORANEA_2_2
77,Boulevard Morelos,77 - Boulevard Morelos,26.0660545,-98.2930032,FORANEA,RAP,2,2,4,FORANEA_2_2
78,Alcala,78 - Alcala,26.0082508,-98.2761346,FORANEA,RAP,2,2,4,FORANEA_2_2
79,Rio Bravo,79 - Rio Bravo,25.9845576,-98.0904333,FORANEA,GRUPO RIO BRAVO,2,2,4,FORANEA_2_2
80,Guerrero 2 (Ruelas),80 - Guerrero 2 (Ruelas),27.4770192,-99.5078585,FORANEA,GRUPO NUEVO LAREDO (RUELAS),2,2,4,FORANEA_2_2
81,Reforma (Ruelas),81 - Reforma (Ruelas),27.4452531,-99.5208093,FORANEA,GRUPO NUEVO LAREDO (RUELAS),2,2,4,FORANEA_2_2
82,Aeropuerto Nuevo Laredo,82 - Aeropuerto Nuevo Laredo,27.5143266,-99.5626594,FORANEA,EXPO,2,2,4,FORANEA_2_2
83,Cerradas de Anahuac,83 - Cerradas de Anahuac,25.7857321,-100.2800438,LOCAL,OGAS,4,4,8,LOCAL_4_4
84,Aeropuerto del Norte,84 - Aeropuerto del Norte,25.8724538,-100.229576,FORANEA,EPL SO,2,2,4,FORANEA_2_2
85,Diego Diaz,85 - Diego Diaz,25.7423904,-100.2636823,LOCAL,OGAS,4,4,8,LOCAL_4_4
86,Miguel de la Madrid,86 - Miguel de la Madrid,25.6941522,-100.1744933,LOCAL,PLOG NUEVO LEON,4,4,8,LOCAL_4_4
